trip_id,driver_id,rider_id,start_time,end_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,fare_amount,surge_multiplier,trip_distance_km,vehicle_type,payment_method,rating_by_rider
ced14203-fa39-4e3a-844b-374a38e08ca4,ff443dfd-2f08-4d6c-abe4-f4afdd75a982,e37a628d-a4ab-412c-9a24-b798638ac5ff,2025-01-15 06:04:00,2025-01-15 06:15:00,40.77,-73.96,40.635,-73.79,51.46,1.2,28.67,comfort,card,3.2
48a83513-dd70-4409-b197-c482dd4bd34b,fd10eea4-9dfd-4920-85fe-a4f18b75be7a,a30ad56d-60eb-42ef-a61c-2f76ec21f508,2025-01-15 06:05:00,2025-01-15 06:30:00,40.65,-73.97,40.73,-73.89,39.76,1.5,24.73,xl,card,5.0
3c702669-2e85-4790-81fc-b5a6e7f3aa61,eaddf0f7-6a69-48e0-9dcf-5219b42a0b35,fc41ae64-cfb5-4ed7-96b2-eac226436276,2025-01-15 06:07:00,2025-01-15 06:51:00,40.755,-73.98,40.73,-73.89,33.48,2.0,0.55,black,wallet,3.7
43641309-b45e-4aa0-b916-7869986a6bde,e4d1903f-90ba-41b9-9118-b21d88e2e196,a3cd7c79-5287-4a88-b25d-dd409cc77080,2025-01-15 06:07:00,2025-01-15 06:39:00,40.65,-73.97,40.65,-73.97,69.75,1.2,19.27,black,cash,4.5
fb5308fe-5c8a-4919-a1f2-6664c4368b48,ec524b47-0ecf-4ac5-b247-9865c66d6d61,1a918aa8-e35a-493c-83df-953376b7883f,2025-01-15 06:12:00,2025-01-15 06:20:00,40.65,-73.97,40.71,-74.01,43.93,1.0,2.01,xl,card,4.6
332a8ea3-4983-4cd4-8ecc-47414765085f,db548804-142f-4389-8145-1a8baf919c9b,5989cff8-ae04-4a5f-8ce2-9440551e8e95,2025-01-15 06:14:00,2025-01-15 06:36:00,40.71,-74.01,40.71,-74.01,40.94,2.0,8.1,comfort,cash,4.7
c217f20a-2ea1-4df8-a067-f6dcf4e4e3bd,967a0988-fa45-4a4b-8556-fa86752cbf1a,b7d373f0-e1f8-45b7-a276-f5c2ca8af6ff,2025-01-15 06:19:00,2025-01-15 06:35:00,40.755,-73.98,40.73,-73.89,6.92,2.0,2.26,uberx,card,5.0
b22d1e0d-91b9-4f29-8632-8c11ccec2992,181fb9dd-bf7d-4ae5-908c-223e16d20d42,9cf6e152-b05e-46e8-8c30-327661243aa1,2025-01-15 06:20:00,2025-01-15 06:42:00,40.755,-73.98,40.65,-73.97,30.59,1.2,18.31,xl,wallet,3.5
2410996a-0ca4-446c-bf9d-c90576cd748c,6de70963-5f1f-4c12-bf8f-930ce0260666,28b90f26-1dbd-4d0a-95e2-aad61d44d6ec,2025-01-15 06:21:00,2025-01-15 06:52:00,40.755,-73.98,40.77,-73.96,33.51,1.0,20.75,uberx,wallet,3.1
c930f4e2-364c-46de-837f-2c7f8ccc2902,0ed8ed6b-7789-4d13-bd8b-01b2099fff56,7e45e7c7-15a6-4d7d-a2b0-dd05af93afd9,2025-01-15 06:25:00,2025-01-15 06:36:00,40.65,-73.97,40.71,-74.01,34.91,1.2,3.88,uberx,cash,3.8
eea76fb8-e64b-4a35-a86b-45a39038b876,7ed28798-2fc6-4364-b666-852830daf91a,071ded04-eb60-4119-9bc8-3709ed71dbcb,2025-01-15 06:28:00,2025-01-15 06:47:00,40.77,-73.96,40.77,-73.96,48.51,2.0,11.82,xl,wallet,3.3
